index,acct_num,ccid,zip4_code,lobs,govt_issued_id,phone_number,first_name,last_name,address_line_one,city_name,state_code,postal_code,country
1234571,5100055032276,cc00000006,,retail,3340783723535,9175557570.0,riya,singh,890,Mumbai,MH,400014,INDIA
1234572,9100050039686,cc00000007,400014.0,card,4413416413454,9185552698.0,anika,sharma,3714,Delhi,DL,110001,INDIA
1234573,5189413110709,cc00000008,,wealth management,9093134663454,8555550732.0,rohan,mehta,178,Bangalore,KA,560001,INDIA
1234574,54241810713642,cc00000009,,corporate,4357890873454,,neha,jain,13,Chennai,TN,600001,INDIA
1234575,517908006007,cc00000010,,card,50202221712313,7015555174.0,aditya,kumar,3056,Kolkata,WB,700001,INDIA
1234576,5100055032277,cc00000011,,retail,3340783723536,9175557571.0,pranav,gupta,891,Hyderabad,TS,500001,INDIA
1234577,9100050039687,cc00000012,500001.0,card,4413416413455,9185552697.0,shreya,sinha,3715,Ahmedabad,GJ,380001,INDIA
1234578,5189413110710,cc00000013,,investment,9093134663455,8555550733.0,ayush,verma,179,Pune,MH,411001,INDIA
1234579,54241810713643,cc00000014,,business,4357890873455,,tanisha,khanna,14,Jaipur,RJ,302001,INDIA
1234580,517908006008,cc00000015,,card,50202221712314,7015555175.0,siddharth,malhotra,3057,Lucknow,UP,226001,INDIA
